,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,ans,bll,ga,lf,mAC,mAI,mPC,mPI,mas,min_rmse
60,81,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.44586551011450126
61,82,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.44586551011450126
62,83,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0,1357.0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,0.37050705371455495
63,84,0.75,0.8333333333333334,0.4166666666666667,0.4,0.8,0.6,1,936.0,0.75,0.9,0.5,0.9,0.6920000000000001,0.754,0.38,0.32,2.8,0.0944465749731701
64,86,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5793062384067601
65,87,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8888888888888888,0,1386.0,1.5,0.7,1.5,1.0,0.602,0.696,0.474,0.32,2.8,0.4083713669452215
66,88,0.5,0.8333333333333334,1.0,0.8,0.8823529411764706,0.7647058823529411,2,1262.0,1.5,0.3,0.5,0.7,0.5579999999999999,0.624,0.46799999999999997,0.376,3.6,0.6428156215210298
67,89,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.41719757192919726
68,90,1.0,0.8333333333333334,0.9166666666666666,1.0,1.0,0.9444444444444444,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.6176146741456426
69,91,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.43008474679445713
