mid,ans,bll,lf,mas,ga,DOC,DOI,POC,POI,DOC_sd,DOI_sd,POC_sd,POI_sd
231,0.1,0.9,1,2.8,1,0.992,1,0.004,0,0.02712932,0,0.019595918,0
232,0.1,0.9,1,3.2,1,0.994,1,0.01,0,0.023748684,0,0.03,0
233,0.1,0.9,1,3.6,1,0.986,1,0,0,0.040049969,0,0,0
234,0.1,0.9,1,2.8,1.5,0.996,1,0.006,0,0.019595918,0,0.023748684,0
235,0.1,0.9,1,3.2,1.5,1,1,0.014,0,0,0,0.034698703,0
236,0.1,0.9,1,3.6,1.5,0.996,1,0.004,0,0.019595918,0,0.019595918,0
237,0.1,0.9,1,2.8,2,0.998,1,0.006,0,0.014,0,0.023748684,0
238,0.1,0.9,1,3.2,2,0.994,1,0.006,0,0.023748684,0,0.023748684,0
239,0.1,0.9,1,3.6,2,0.998,1,0.008,0,0.014,0,0.02712932,0
240,0.25,0.1,0.5,2.8,0.5,0.88,0.938,0.126,0.042,0.103923048,0.086925255,0.105470375,0.056885851
241,0.25,0.1,0.5,3.2,0.5,0.848,0.968,0.114,0.034,0.102449988,0.046647615,0.109562767,0.0681469
242,0.25,0.1,0.5,3.6,0.5,0.884,0.976,0.104,0.032,0.094572723,0.047159304,0.091564185,0.05075431
243,0.25,0.1,0.5,2.8,1,0.856,0.972,0.132,0.014,0.121918005,0.044899889,0.090421236,0.034698703
244,0.25,0.1,0.5,3.2,1,0.832,0.994,0.098,0.01,0.119063009,0.023748684,0.090531762,0.03
245,0.25,0.1,0.5,3.6,1,0.87,0.998,0.156,0.004,0.094339811,0.014,0.111642286,0.019595918
246,0.25,0.1,0.5,2.8,1.5,0.882,0.996,0.148,0.008,0.084118963,0.019595918,0.109981817,0.02712932
247,0.25,0.1,0.5,3.2,1.5,0.864,1,0.134,0.002,0.103460137,0,0.106976633,0.014
248,0.25,0.1,0.5,3.6,1.5,0.88,0.994,0.132,0,0.089442719,0.023748684,0.102839681,0
249,0.25,0.1,0.5,2.8,2,0.856,0.998,0.13,0,0.102293695,0.014,0.078102497,0
250,0.25,0.1,0.5,3.2,2,0.894,1,0.168,0,0.096767763,0,0.119063009,0
251,0.25,0.1,0.5,3.6,2,0.862,1,0.128,0.002,0.114699608,0,0.093893557,0.014
252,0.25,0.1,0.7,2.8,0.5,0.886,0.964,0.13,0.06,0.111373246,0.055713553,0.094339811,0.082462113
253,0.25,0.1,0.7,3.2,0.5,0.884,0.962,0.152,0.032,0.113771701,0.059632206,0.089977775,0.054552727
254,0.25,0.1,0.7,3.6,0.5,0.892,0.976,0.124,0.026,0.093466572,0.047159304,0.092865494,0.059363288
255,0.25,0.1,0.7,2.8,1,0.898,0.986,0.128,0.02,0.108609392,0.034698703,0.107777549,0.04472136
256,0.25,0.1,0.7,3.2,1,0.852,0.988,0.14,0.006,0.113560557,0.032496154,0.111355287,0.023748684
257,0.25,0.1,0.7,3.6,1,0.876,0.996,0.128,0,0.114122741,0.019595918,0.100079968,0
258,0.25,0.1,0.7,2.8,1.5,0.866,0.992,0.144,0.004,0.106976633,0.02712932,0.106131993,0.019595918
259,0.25,0.1,0.7,3.2,1.5,0.838,1,0.148,0.004,0.103711137,0,0.113560557,0.019595918
260,0.25,0.1,0.7,3.6,1.5,0.862,1,0.142,0,0.111157546,0,0.111516815,0
261,0.25,0.1,0.7,2.8,2,0.886,0.996,0.134,0,0.100019998,0.019595918,0.090796476,0
262,0.25,0.1,0.7,3.2,2,0.86,0.998,0.132,0,0.107703296,0.014,0.098873657,0
263,0.25,0.1,0.7,3.6,2,0.882,1,0.136,0,0.086463865,0,0.097488461,0
264,0.25,0.1,0.9,2.8,0.5,0.882,0.956,0.13,0.056,0.084118963,0.060530984,0.094339811,0.072553429
265,0.25,0.1,0.9,3.2,0.5,0.882,0.962,0.156,0.04,0.107126094,0.059632206,0.106131993,0.052915026
266,0.25,0.1,0.9,3.6,0.5,0.872,0.978,0.12,0.02,0.104,0.04142463,0.09797959,0.04472136
267,0.25,0.1,0.9,2.8,1,0.862,0.986,0.13,0.014,0.093573501,0.034698703,0.098488578,0.034698703
268,0.25,0.1,0.9,3.2,1,0.878,0.992,0.112,0.018,0.100578328,0.02712932,0.099277389,0.043312816
269,0.25,0.1,0.9,3.6,1,0.868,0.996,0.124,0.004,0.125602548,0.019595918,0.104995238,0.019595918
270,0.25,0.1,0.9,2.8,1.5,0.858,0.998,0.112,0.006,0.115047816,0.014,0.101271911,0.023748684
271,0.25,0.1,0.9,3.2,1.5,0.87,0.998,0.14,0.002,0.092195445,0.014,0.116619038,0.014
272,0.25,0.1,0.9,3.6,1.5,0.86,0.998,0.116,0.004,0.109544512,0.014,0.113771701,0.019595918
273,0.25,0.1,0.9,2.8,2,0.876,0.998,0.096,0,0.097077289,0.014,0.079899937,0
274,0.25,0.1,0.9,3.2,2,0.86,1,0.132,0,0.111355287,0,0.090421236,0
275,0.25,0.1,0.9,3.6,2,0.864,1,0.142,0,0.095414884,0,0.109708705,0
276,0.25,0.1,1,2.8,0.5,0.864,0.954,0.108,0.042,0.114472704,0.063906181,0.10166612,0.056885851
277,0.25,0.1,1,3.2,0.5,0.854,0.944,0.134,0.022,0.120349491,0.066813172,0.103169763,0.046
278,0.25,0.1,1,3.6,0.5,0.884,0.986,0.14,0.028,0.104613575,0.040049969,0.128062485,0.049152823
279,0.25,0.1,1,2.8,1,0.87,0.982,0.144,0.006,0.108166538,0.038418745,0.108,0.023748684
280,0.25,0.1,1,3.2,1,0.872,0.996,0.132,0.008,0.09173876,0.019595918,0.115654658,0.02712932
