,ans,bll,lf,mas,ga,rmse,DOC,DOI,POC,POI
258,0.25,0.1,0.7,2.8,1.5,0.8187214377774963,0.8659999999999998,0.992,0.14400000000000002,0.004
259,0.25,0.1,0.7,3.2,1.5,0.8148855845153129,0.8379999999999995,1.0,0.14799999999999996,0.004
260,0.25,0.1,0.7,3.6,1.5,0.8252585090113057,0.8619999999999994,1.0,0.142,0.0
261,0.25,0.1,0.7,2.8,2.0,0.832445929561773,0.8859999999999997,0.996,0.134,0.0
262,0.25,0.1,0.7,3.2,2.0,0.8279882162501884,0.86,0.998,0.13199999999999995,0.0
263,0.25,0.1,0.7,3.6,2.0,0.8322105528994244,0.8819999999999996,1.0,0.13599999999999995,0.0
264,0.25,0.1,0.9,2.8,0.5,0.7726575529362927,0.8819999999999996,0.9559999999999996,0.13,0.05600000000000002
265,0.25,0.1,0.9,3.2,0.5,0.7763381367011448,0.8819999999999996,0.9619999999999999,0.15599999999999997,0.04000000000000001
266,0.25,0.1,0.9,3.6,0.5,0.8114358085701345,0.8719999999999999,0.9779999999999999,0.11999999999999997,0.019999999999999997
267,0.25,0.1,0.9,2.8,1.0,0.8127537457784093,0.8619999999999997,0.986,0.12999999999999998,0.013999999999999999
268,0.25,0.1,0.9,3.2,1.0,0.8235406716881044,0.8779999999999997,0.9919999999999999,0.11200000000000002,0.018
