,subjID,DOC,DOI,POC,POI,mid,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,rmse
78,jszq12ry20200302,1.0,0.75,0.4,0.6,876.0,0.75,0.7,0.5,0.7,0.6520000000000001,0.6659999999999998,0.342,0.322,2.8,0.3623865508656085
79,jtgsfocm20201110,0.75,0.6,0.4,0.4,1309.0,1.5,0.5,0.5,0.7,0.6140000000000001,0.598,0.40400000000000014,0.374,3.2,0.33279621272043763
80,jw9595dy20201103,0.25,0.6,0.0,0.2,1181.0,1.0,0.9,1.0,0.9,0.5740000000000002,0.792,0.3439999999999999,0.2699999999999999,3.6,0.4494848610550287
81,k1nlvgjw20201120,1.0,0.8,0.8,0.6,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
82,k5us58ta20201118,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
83,ka19xw0720201118,0.6,0.5,0.0,0.6,1357.0,1.5,0.7,0.5,0.7,0.5780000000000003,0.63,0.3840000000000001,0.394,3.2,0.2960964211284005
84,khmdqt1d20201120,1.0,1.0,1.0,0.6,1386.0,1.5,0.7,1.5,1.0,0.6020000000000003,0.6960000000000001,0.4739999999999999,0.32,2.8,0.3817662061420791
85,khmqwngv20201125,0.8,1.0,0.8,0.8,1261.0,1.5,0.3,0.5,0.7,0.56,0.6460000000000001,0.43,0.412,3.2,0.3039417529223076
86,kkdkln3w20201121,0.0,0.6,0.0,0.4,1396.0,1.5,0.9,1.0,0.5,0.5279999999999998,0.6800000000000003,0.4100000000000001,0.3720000000000001,3.2,0.35150374413999563
87,l6mx3upp20201111,0.0,0.0,0.0,0.0,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
88,lavpu7s720201109,0.667,1.0,1.0,0.8,1353.0,1.5,0.7,2.0,0.5,0.5579999999999999,0.6839999999999999,0.462,0.336,2.8,0.378860685325028
89,llfb9sc220201102,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
90,m5upgrz820200113,0.8,0.4,0.4,0.4,1236.0,1.5,0.1,0.5,1.0,0.6000000000000001,0.574,0.418,0.366,2.8,0.3555656556025866
91,m77dce3920200208,0.6,0.6,0.8,0.8,1392.0,1.5,0.9,0.5,0.5,0.5559999999999998,0.594,0.428,0.406,2.8,0.32413985599467904
92,mjkg31a820201102,0.6,1.0,0.6,0.6,1432.0,1.5,0.9,1.0,1.0,0.5539999999999999,0.7119999999999999,0.418,0.3520000000000001,3.2,0.3600645359039817
93,mlw4ef5020200128,1.0,1.0,0.75,0.75,1203.0,1.5,0.1,1.0,0.5,0.6360000000000001,0.6659999999999999,0.43,0.3900000000000001,2.8,0.2979132939322536
94,mzbmhmq820201113,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
95,n10np7qf20200307,0.8,1.0,0.8,1.0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.416,2.8,0.2988532693224191
96,nll42gx020201125,0.6,1.0,0.8,0.2,1439.0,1.5,0.9,2.0,1.0,0.578,0.8219999999999998,0.4779999999999999,0.21799999999999986,3.6,0.5145937157149634
97,nmflx2le20200308,0.8,1.0,1.0,1.0,1261.0,1.5,0.3,0.5,0.7,0.56,0.6460000000000001,0.43,0.412,3.2,0.3039417529223076
98,nn8l7htm20200208,0.8,1.0,1.0,1.0,1261.0,1.5,0.3,0.5,0.7,0.56,0.6460000000000001,0.43,0.412,3.2,0.3039417529223076
99,nv62373d20200306,0.8,0.6,0.4,0.6,1309.0,1.5,0.5,0.5,0.7,0.6140000000000001,0.598,0.40400000000000014,0.374,3.2,0.33279621272043763
100,o42peyga20200227,0.667,0.75,0.75,1.0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.416,2.8,0.2988532693224191
101,o5v23rrz20200304,0.4,0.4,0.4,0.2,1344.0,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,0.3907140815385402
102,o6eldlqz20200129,0.8,0.5,1.0,0.75,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
103,ob5p7xxa20201119,0.8,1.0,1.0,0.8,1262.0,1.5,0.3,0.5,0.7,0.5579999999999999,0.624,0.468,0.37600000000000017,3.6,0.35291627577339224
104,ok6o9kx720200209,1.0,1.0,0.6,0.5,877.0,0.75,0.7,0.5,0.7,0.696,0.7480000000000001,0.3560000000000001,0.26,3.2,0.4248386009015849
105,p2achudm20201123,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
106,p93k4k4v20201204,0.4,0.4,0.6,0.2,1344.0,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,0.3907140815385402
107,pglz36nx20200127,1.0,1.0,1.0,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
108,pl59ybvr20201103,1.0,0.8,0.8,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
109,plcd2fbz20200301,0.25,0.5,0.33299999999999996,0.5,1345.0,1.5,0.7,0.5,0.5,0.546,0.6160000000000001,0.39799999999999996,0.402,3.2,0.3100975969223329
110,pmqrpsua20200130,1.0,0.6,0.8,0.4,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
111,pyb36j9a20200211,0.75,1.0,1.0,0.8,1353.0,1.5,0.7,2.0,0.5,0.5579999999999999,0.6839999999999999,0.462,0.336,2.8,0.378860685325028
112,q1pba6fp20201106,0.6,0.5,0.5,0.5,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
113,qokbfd8720201125,0.6,0.6,0.4,0.6,1380.0,1.5,0.7,0.5,1.0,0.5780000000000002,0.6200000000000001,0.4180000000000001,0.4099999999999999,2.8,0.298518876332036
114,qv3wta5b20201118,1.0,1.0,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
115,r9lo90ts20200130,0.667,1.0,0.6,1.0,1176.0,1.0,0.9,0.5,0.9,0.5780000000000001,0.708,0.38,0.384,2.8,0.3189135548710736
116,s1somgf720200211,0.4,0.4,0.2,0.0,973.0,1.0,0.1,0.5,0.7,0.6,0.6459999999999999,0.4,0.28600000000000003,3.2,0.3980580722316145
117,s55aohfe20200128,0.33299999999999996,0.4,0.0,0.4,1345.0,1.5,0.7,0.5,0.5,0.546,0.6160000000000001,0.39799999999999996,0.402,3.2,0.3100975969223329
118,svolj44520201207,1.0,1.0,0.6,1.0,1296.0,1.5,0.5,0.5,0.5,0.6,0.6699999999999998,0.41400000000000015,0.4059999999999999,2.8,0.2840324877194348
119,sw68ajzc20200213,1.0,1.0,0.2,0.4,396.0,0.25,0.7,0.5,0.7,0.8679999999999995,0.9539999999999996,0.13799999999999998,0.06600000000000003,2.8,0.7564029999314876
120,t7dcx8xl20201203,1.0,0.75,1.0,1.0,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
121,t9cdwyon20200113,1.0,1.0,0.8,0.6,1094.0,1.0,0.5,0.5,1.0,0.644,0.6980000000000003,0.4199999999999999,0.29,3.6,0.3913476461622053
