,alpha,egs,r1,r2,rmse,DOC,DOI,POC,POI
615,0.7,0.5,0.0,-0.5,0.5654714358014233,0.4720000000000001,0.35199999999999987,0.52,0.6220000000000002
616,0.7,0.5,0.0,-0.1,0.4894560819985129,0.4620000000000001,0.44199999999999995,0.546,0.47599999999999987
617,0.7,0.5,0.0,0.0,0.4368662334480854,0.5120000000000001,0.46800000000000014,0.5219999999999999,0.512
618,0.7,0.5,0.1,-10.0,1.0793117338392881,0.524,0.0,0.502,1.0
619,0.7,0.5,0.1,-5.0,1.0661686024691215,0.4760000000000001,0.012,0.5079999999999999,0.9939999999999999
620,0.7,0.5,0.1,-1.0,0.663938841838192,0.502,0.286,0.4699999999999999,0.7360000000000002
621,0.7,0.5,0.1,-0.5,0.5672930227459302,0.5259999999999999,0.34800000000000003,0.5059999999999999,0.66
622,0.7,0.5,0.1,-0.1,0.4749717077318826,0.506,0.41999999999999993,0.4880000000000002,0.55
623,0.7,0.5,0.1,0.0,0.43040241960665104,0.5179999999999999,0.46599999999999997,0.496,0.488
624,0.7,0.5,0.5,-10.0,1.0995289772889034,0.59,0.0,0.39799999999999996,1.0
625,0.7,0.5,0.5,-5.0,1.0889033556637693,0.5800000000000001,0.006000000000000001,0.39,0.99
626,0.7,0.5,0.5,-1.0,0.6899878005679921,0.614,0.268,0.408,0.7420000000000002
627,0.7,0.5,0.5,-0.5,0.5176737109795756,0.57,0.3920000000000001,0.38599999999999995,0.6100000000000002
628,0.7,0.5,0.5,-0.1,0.45801444999839547,0.6040000000000001,0.4259999999999999,0.4200000000000001,0.5379999999999999
629,0.7,0.5,0.5,0.0,0.4342348765356936,0.584,0.45000000000000007,0.4060000000000001,0.5340000000000001
630,0.7,0.5,1.0,-10.0,1.1298418007444924,0.696,0.0,0.338,1.0
631,0.7,0.5,1.0,-5.0,1.1491572192368387,0.6799999999999998,0.002,0.26799999999999996,0.998
632,0.7,0.5,1.0,-1.0,0.781240317025372,0.67,0.24199999999999997,0.29399999999999993,0.778
633,0.7,0.5,1.0,-0.5,0.6253757426805773,0.7040000000000002,0.3479999999999999,0.304,0.652
634,0.7,0.5,1.0,-0.1,0.47987362774175835,0.7220000000000002,0.46599999999999997,0.31399999999999995,0.5159999999999999
635,0.7,0.5,1.0,0.0,0.45323081060794473,0.6719999999999999,0.49199999999999994,0.31,0.5640000000000002
636,0.7,0.5,5.0,-10.0,1.3912860401553409,0.998,0.0,0.004,1.0
637,0.7,0.5,5.0,-5.0,1.3709762963403356,0.988,0.002,0.018,0.99
638,0.7,0.5,5.0,-1.0,1.0415629744984631,0.992,0.28600000000000003,0.008,0.7779999999999998
639,0.7,0.5,5.0,-0.5,0.9273454718028211,0.9939999999999999,0.3779999999999999,0.012,0.6560000000000001
640,0.7,0.5,5.0,-0.1,0.8463134065697726,0.998,0.47400000000000003,0.006000000000000001,0.5459999999999999
641,0.7,0.5,5.0,0.0,0.8355567493002429,0.9939999999999999,0.46800000000000014,0.012,0.49200000000000016
642,0.7,0.5,10.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
643,0.7,0.5,10.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
644,0.7,0.5,10.0,-1.0,1.0474891791021461,1.0,0.26600000000000007,0.0,0.73
645,0.7,0.5,10.0,-0.5,0.9729065018243402,1.0,0.33799999999999997,0.0,0.67
646,0.7,0.5,10.0,-0.1,0.8435182702703916,1.0,0.4879999999999999,0.0,0.54
647,0.7,0.5,10.0,0.0,0.8536656180852034,1.0,0.4640000000000001,0.0,0.5120000000000001
648,0.7,0.9,0.0,-10.0,1.077938170209683,0.45599999999999985,0.0,0.5259999999999999,0.9939999999999999
649,0.7,0.9,0.0,-5.0,0.9794272902316206,0.494,0.07400000000000002,0.5019999999999998,0.9499999999999996
650,0.7,0.9,0.0,-1.0,0.5424647219006505,0.5240000000000001,0.3819999999999999,0.4799999999999997,0.6759999999999999
651,0.7,0.9,0.0,-0.5,0.46824915185879723,0.5099999999999999,0.44799999999999995,0.552,0.6000000000000001
652,0.7,0.9,0.0,-0.1,0.41900333039801885,0.4859999999999999,0.486,0.4440000000000001,0.5320000000000001
653,0.7,0.9,0.0,0.0,0.45638359520842764,0.466,0.46799999999999997,0.522,0.49799999999999983
654,0.7,0.9,0.1,-10.0,1.069047492109644,0.4819999999999999,0.01,0.518,0.998
655,0.7,0.9,0.1,-5.0,0.9953378372440311,0.4919999999999999,0.05200000000000002,0.5220000000000001,0.9439999999999995
656,0.7,0.9,0.1,-1.0,0.5218830626197193,0.502,0.39399999999999996,0.51,0.636
657,0.7,0.9,0.1,-0.5,0.4705971621247013,0.4959999999999999,0.44400000000000006,0.532,0.5880000000000001
658,0.7,0.9,0.1,-0.1,0.4296356500075257,0.49,0.4920000000000001,0.5320000000000001,0.5299999999999999
659,0.7,0.9,0.1,0.0,0.4214725483764868,0.48999999999999994,0.49599999999999994,0.498,0.5640000000000001
660,0.7,0.9,0.5,-10.0,1.0856923358265496,0.5599999999999999,0.002,0.434,0.996
661,0.7,0.9,0.5,-5.0,0.9968844104208712,0.5660000000000001,0.05800000000000002,0.4540000000000001,0.9459999999999996
662,0.7,0.9,0.5,-1.0,0.5521670209924573,0.6059999999999999,0.3520000000000001,0.466,0.6380000000000001
663,0.7,0.9,0.5,-0.5,0.47358265838743474,0.5760000000000002,0.4079999999999999,0.43200000000000005,0.5359999999999999
664,0.7,0.9,0.5,-0.1,0.43113318177983484,0.5579999999999999,0.44800000000000006,0.418,0.5099999999999999
665,0.7,0.9,0.5,0.0,0.4002389139991529,0.5680000000000001,0.48,0.4520000000000001,0.52
666,0.7,0.9,1.0,-10.0,1.0981039861118234,0.6099999999999999,0.004,0.3939999999999999,1.0
667,0.7,0.9,1.0,-5.0,1.0122980233041072,0.5940000000000001,0.06000000000000002,0.37799999999999995,0.9439999999999996
668,0.7,0.9,1.0,-1.0,0.5678170950747576,0.5979999999999999,0.35800000000000004,0.4,0.664
669,0.7,0.9,1.0,-0.5,0.481778609083739,0.6360000000000001,0.4239999999999998,0.39600000000000013,0.596
670,0.7,0.9,1.0,-0.1,0.4294780024128775,0.5940000000000001,0.456,0.3919999999999999,0.524
671,0.7,0.9,1.0,0.0,0.37407857802391487,0.608,0.512,0.4,0.524
672,0.7,0.9,5.0,-10.0,1.3180863717785585,0.9419999999999996,0.006000000000000001,0.07800000000000003,1.0
673,0.7,0.9,5.0,-5.0,1.2564812724619387,0.9359999999999999,0.05000000000000002,0.07200000000000002,0.9579999999999999
674,0.7,0.9,5.0,-1.0,0.8358744998226209,0.9299999999999994,0.37000000000000005,0.08000000000000002,0.6259999999999999
675,0.7,0.9,5.0,-0.5,0.7936117379694219,0.9319999999999996,0.41400000000000003,0.07400000000000004,0.56
676,0.7,0.9,5.0,-0.1,0.7644094966042636,0.9319999999999996,0.47600000000000015,0.05000000000000002,0.516
677,0.7,0.9,5.0,0.0,0.7205906193856464,0.9239999999999996,0.5299999999999998,0.05600000000000002,0.4920000000000001
678,0.7,0.9,10.0,-10.0,1.3917056129591199,1.0,0.002,0.002,1.0
679,0.7,0.9,10.0,-5.0,1.2747196080268655,0.992,0.09200000000000003,0.004,0.9339999999999996
680,0.7,0.9,10.0,-1.0,0.9464696768451497,0.996,0.35200000000000004,0.0,0.622
681,0.7,0.9,10.0,-0.5,0.8857010635226623,0.9919999999999999,0.408,0.004,0.546
682,0.7,0.9,10.0,-0.1,0.8553367087673189,0.996,0.462,0.004,0.5539999999999999
683,0.7,0.9,10.0,0.0,0.8367803476303444,0.996,0.48200000000000004,0.004,0.5079999999999999
684,0.7,1.3,0.0,-10.0,1.0389418864547744,0.5199999999999999,0.03200000000000001,0.5100000000000001,0.986
685,0.7,1.3,0.0,-5.0,0.8762213929765208,0.5340000000000001,0.138,0.514,0.8859999999999999
686,0.7,1.3,0.0,-1.0,0.5164871280289713,0.484,0.3960000000000001,0.544,0.57
687,0.7,1.3,0.0,-0.5,0.5124194666681466,0.47,0.38600000000000007,0.48,0.5359999999999998
688,0.7,1.3,0.0,-0.1,0.43266322240851673,0.46799999999999997,0.4940000000000002,0.5099999999999999,0.506
689,0.7,1.3,0.0,0.0,0.4519452793088259,0.45800000000000013,0.4799999999999999,0.52,0.48999999999999977
690,0.7,1.3,0.1,-10.0,1.0523761229725193,0.5260000000000001,0.02,0.5139999999999998,0.9899999999999999
691,0.7,1.3,0.1,-5.0,0.8585522720950843,0.4819999999999998,0.15399999999999997,0.488,0.8679999999999995
692,0.7,1.3,0.1,-1.0,0.4817425624748729,0.5260000000000001,0.42200000000000004,0.528,0.598
693,0.7,1.3,0.1,-0.5,0.4820694119515667,0.48200000000000004,0.4240000000000002,0.4519999999999999,0.5760000000000002
694,0.7,1.3,0.1,-0.1,0.4284646830099411,0.504,0.4919999999999999,0.54,0.5000000000000001
695,0.7,1.3,0.1,0.0,0.40917870833874004,0.4800000000000001,0.5039999999999998,0.47400000000000003,0.498
696,0.7,1.3,0.5,-10.0,1.0630002092128639,0.532,0.018,0.42,0.9799999999999999
697,0.7,1.3,0.5,-5.0,0.864185171573363,0.552,0.14999999999999994,0.488,0.8819999999999999
698,0.7,1.3,0.5,-1.0,0.48376672688043487,0.5279999999999999,0.4160000000000001,0.49200000000000005,0.6
699,0.7,1.3,0.5,-0.5,0.464668945085919,0.5199999999999999,0.426,0.49400000000000005,0.5260000000000001
700,0.7,1.3,0.5,-0.1,0.39946476290174215,0.562,0.484,0.4179999999999999,0.5279999999999998
701,0.7,1.3,0.5,0.0,0.3750538060781808,0.5260000000000001,0.522,0.474,0.504
702,0.7,1.3,1.0,-10.0,1.0726722428480269,0.592,0.016,0.4040000000000001,0.9839999999999999
703,0.7,1.3,1.0,-5.0,0.8914801213825068,0.594,0.11800000000000001,0.41199999999999987,0.8479999999999999
704,0.7,1.3,1.0,-1.0,0.4807381184055258,0.59,0.4160000000000001,0.4100000000000002,0.588
705,0.7,1.3,1.0,-0.5,0.4102274982838864,0.5960000000000001,0.47400000000000003,0.4960000000000001,0.5619999999999998
706,0.7,1.3,1.0,-0.1,0.39295254091985976,0.5880000000000001,0.49000000000000005,0.40399999999999997,0.52
707,0.7,1.3,1.0,0.0,0.42987249646867376,0.524,0.46199999999999997,0.4040000000000001,0.5379999999999999
708,0.7,1.3,5.0,-10.0,1.2246528244614059,0.8479999999999994,0.018000000000000002,0.15199999999999997,0.988
709,0.7,1.3,5.0,-5.0,1.0575238603232318,0.8779999999999996,0.12599999999999997,0.16799999999999993,0.8599999999999994
710,0.7,1.3,5.0,-1.0,0.759031680823826,0.8599999999999994,0.36999999999999994,0.12200000000000001,0.5900000000000002
711,0.7,1.3,5.0,-0.5,0.653310365418946,0.8359999999999996,0.44000000000000006,0.16199999999999995,0.5419999999999998
712,0.7,1.3,5.0,-0.1,0.6571551631578612,0.8519999999999994,0.4680000000000002,0.14599999999999996,0.5640000000000001
713,0.7,1.3,5.0,0.0,0.6807817267761764,0.8619999999999994,0.4539999999999999,0.12000000000000002,0.49
714,0.7,1.3,10.0,-10.0,1.3382926768581305,0.9839999999999999,0.026000000000000006,0.022,0.976
715,0.7,1.3,10.0,-5.0,1.2004472891781077,0.9699999999999998,0.11199999999999997,0.026000000000000002,0.8699999999999994
716,0.7,1.3,10.0,-1.0,0.8783653501480958,0.9759999999999996,0.41000000000000014,0.019999999999999997,0.6200000000000001
717,0.7,1.3,10.0,-0.5,0.8480511043699515,0.98,0.43600000000000017,0.026000000000000006,0.5760000000000001
718,0.7,1.3,10.0,-0.1,0.7931604092477393,0.9799999999999999,0.5159999999999999,0.024,0.5279999999999999
719,0.7,1.3,10.0,0.0,0.8124230818590181,0.9819999999999998,0.482,0.022000000000000002,0.502
720,0.9,0.01,0.0,-10.0,1.3549472442860206,0.0,0.0,1.0,1.0
721,0.9,0.01,0.0,-5.0,1.3537818510378112,0.002,0.0,1.0,1.0
722,0.9,0.01,0.0,-1.0,1.3540340875779642,0.0,0.0,0.998,1.0
723,0.9,0.01,0.0,-0.5,1.3549472442860206,0.0,0.0,1.0,1.0
724,0.9,0.01,0.0,-0.1,1.3549472442860206,0.0,0.0,1.0,1.0
725,0.9,0.01,0.0,0.0,1.354194558278582,0.0,0.0,1.0,0.998
726,0.9,0.01,0.1,-10.0,1.0820749586273468,0.486,0.0,0.49399999999999983,1.0
727,0.9,0.01,0.1,-5.0,1.080510697779956,0.49999999999999994,0.0,0.5,1.0
728,0.9,0.01,0.1,-1.0,1.08243002246957,0.49200000000000005,0.0,0.488,1.0
729,0.9,0.01,0.1,-0.5,1.0799642332075092,0.5179999999999998,0.0,0.4979999999999999,1.0
730,0.9,0.01,0.1,-0.1,1.0827492214503316,0.47999999999999976,0.0,0.4919999999999999,1.0
731,0.9,0.01,0.1,0.0,1.0795002215723142,0.552,0.0,0.4979999999999999,1.0
732,0.9,0.01,0.5,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
733,0.9,0.01,0.5,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
734,0.9,0.01,0.5,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
735,0.9,0.01,0.5,-0.5,1.394646564919659,1.0,0.0,0.0,1.0
736,0.9,0.01,0.5,-0.1,1.394646564919659,1.0,0.0,0.0,1.0
737,0.9,0.01,0.5,0.0,1.3929355403118047,1.0,0.002,0.0,1.0
738,0.9,0.01,1.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
739,0.9,0.01,1.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
740,0.9,0.01,1.0,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
741,0.9,0.01,1.0,-0.5,1.394646564919659,1.0,0.0,0.0,1.0
742,0.9,0.01,1.0,-0.1,1.394646564919659,1.0,0.0,0.0,1.0
743,0.9,0.01,1.0,0.0,1.394646564919659,1.0,0.0,0.0,1.0
