,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mAC,mAI,mPC,mPI,mid,min_rmse
60,81,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.02190197860163932
61,82,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.02190197860163932
62,83,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.1836576343816577
63,84,0.75,0.8333333333333334,0.4166666666666667,0.4,0.8,0.6,1,0.5,0.7,0.3,0.652,0.726,0.318,0.284,66.0,0.011660045740333391
64,86,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.057552816322632434
65,87,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8888888888888888,0,1.0,0.3,0.7,0.606,0.5820000000000001,0.386,0.322,108.0,0.061164504957259856
66,88,0.5,0.8333333333333334,1.0,0.8,0.8823529411764706,0.7647058823529411,2,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.2843503590056933
67,89,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0,1.5,0.1,0.3,0.58,0.606,0.44799999999999995,0.44799999999999995,126.0,0.035039453953127374
68,90,1.0,0.8333333333333334,0.9166666666666666,1.0,1.0,0.9444444444444444,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.12897786631821756
69,91,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,1.5,0.3,0.1,0.5920000000000001,0.588,0.428,0.428,130.0,0.0035632382276051386
