,alpha,egs,r1,r2,DOC,DOI,POC,POI
276,0.3,0.5,5,-10,0.878,0.016,0.138,0.984
277,0.3,0.5,5,-5,0.884,0.102,0.116,0.896
278,0.3,0.5,5,-1,0.88,0.412,0.128,0.58
279,0.3,0.5,5,-0.5,0.88,0.43,0.126,0.546
280,0.3,0.5,5,-0.1,0.866,0.454,0.108,0.516
281,0.3,0.5,5,0,0.898,0.454,0.094,0.49
282,0.3,0.5,10,-10,0.99,0.01,0.012,0.994
283,0.3,0.5,10,-5,0.988,0.114,0.02,0.888
284,0.3,0.5,10,-1,0.986,0.368,0.014,0.634
285,0.3,0.5,10,-0.5,0.988,0.414,0.012,0.572
286,0.3,0.5,10,-0.1,0.99,0.488,0.006,0.526
287,0.3,0.5,10,0,0.988,0.498,0.022,0.536
288,0.3,0.9,0,-10,0.492,0.09,0.562,0.908
289,0.3,0.9,0,-5,0.504,0.25,0.524,0.75
290,0.3,0.9,0,-1,0.51,0.45,0.484,0.556
291,0.3,0.9,0,-0.5,0.496,0.498,0.516,0.504
292,0.3,0.9,0,-0.1,0.494,0.454,0.472,0.532
293,0.3,0.9,0,0,0.49,0.516,0.488,0.512
294,0.3,0.9,0.1,-10,0.494,0.096,0.468,0.932
295,0.3,0.9,0.1,-5,0.496,0.238,0.528,0.752
296,0.3,0.9,0.1,-1,0.528,0.476,0.508,0.558
297,0.3,0.9,0.1,-0.5,0.532,0.43,0.502,0.512
298,0.3,0.9,0.1,-0.1,0.48,0.49,0.508,0.534
299,0.3,0.9,0.1,0,0.526,0.458,0.456,0.512
300,0.3,0.9,0.5,-10,0.536,0.082,0.482,0.908
301,0.3,0.9,0.5,-5,0.532,0.25,0.506,0.772
302,0.3,0.9,0.5,-1,0.47,0.464,0.482,0.592
303,0.3,0.9,0.5,-0.5,0.486,0.47,0.47,0.524
304,0.3,0.9,0.5,-0.1,0.556,0.508,0.434,0.514
305,0.3,0.9,0.5,0,0.536,0.49,0.484,0.492
306,0.3,0.9,1,-10,0.564,0.064,0.444,0.906
307,0.3,0.9,1,-5,0.61,0.24,0.452,0.746
308,0.3,0.9,1,-1,0.586,0.482,0.456,0.592
309,0.3,0.9,1,-0.5,0.548,0.478,0.432,0.566
310,0.3,0.9,1,-0.1,0.56,0.444,0.452,0.526
311,0.3,0.9,1,0,0.598,0.458,0.454,0.48
312,0.3,0.9,5,-10,0.782,0.08,0.238,0.9
313,0.3,0.9,5,-5,0.72,0.27,0.228,0.74
314,0.3,0.9,5,-1,0.776,0.462,0.258,0.572
315,0.3,0.9,5,-0.5,0.746,0.458,0.242,0.54
316,0.3,0.9,5,-0.1,0.742,0.478,0.266,0.514
317,0.3,0.9,5,0,0.754,0.496,0.25,0.504
318,0.3,0.9,10,-10,0.9,0.08,0.068,0.888
319,0.3,0.9,10,-5,0.898,0.26,0.086,0.766
320,0.3,0.9,10,-1,0.902,0.424,0.096,0.564
321,0.3,0.9,10,-0.5,0.886,0.484,0.09,0.52
322,0.3,0.9,10,-0.1,0.922,0.47,0.116,0.528
323,0.3,0.9,10,0,0.896,0.466,0.082,0.494
324,0.3,1.3,0,-10,0.5,0.176,0.484,0.822
325,0.3,1.3,0,-5,0.462,0.324,0.506,0.662
326,0.3,1.3,0,-1,0.474,0.438,0.48,0.55
327,0.3,1.3,0,-0.5,0.51,0.458,0.492,0.502
328,0.3,1.3,0,-0.1,0.494,0.464,0.522,0.5
329,0.3,1.3,0,0,0.474,0.494,0.506,0.512
330,0.3,1.3,0.1,-10,0.504,0.18,0.48,0.824
331,0.3,1.3,0.1,-5,0.528,0.318,0.488,0.696
332,0.3,1.3,0.1,-1,0.492,0.454,0.466,0.48
333,0.3,1.3,0.1,-0.5,0.474,0.456,0.546,0.508
334,0.3,1.3,0.1,-0.1,0.5,0.506,0.512,0.554
335,0.3,1.3,0.1,0,0.506,0.528,0.506,0.524
336,0.3,1.3,0.5,-10,0.508,0.17,0.438,0.832
337,0.3,1.3,0.5,-5,0.496,0.29,0.466,0.704
338,0.3,1.3,0.5,-1,0.528,0.488,0.508,0.548
339,0.3,1.3,0.5,-0.5,0.502,0.498,0.47,0.532
340,0.3,1.3,0.5,-0.1,0.524,0.52,0.462,0.528
341,0.3,1.3,0.5,0,0.496,0.53,0.492,0.49
342,0.3,1.3,1,-10,0.522,0.152,0.474,0.812
343,0.3,1.3,1,-5,0.574,0.338,0.462,0.692
344,0.3,1.3,1,-1,0.546,0.448,0.47,0.558
345,0.3,1.3,1,-0.5,0.56,0.492,0.418,0.556
346,0.3,1.3,1,-0.1,0.57,0.496,0.512,0.522
347,0.3,1.3,1,0,0.54,0.502,0.484,0.512
348,0.3,1.3,5,-10,0.668,0.162,0.356,0.826
349,0.3,1.3,5,-5,0.67,0.29,0.33,0.728
350,0.3,1.3,5,-1,0.668,0.476,0.336,0.54
351,0.3,1.3,5,-0.5,0.692,0.442,0.318,0.554
352,0.3,1.3,5,-0.1,0.662,0.484,0.318,0.506
353,0.3,1.3,5,0,0.676,0.5,0.356,0.512
354,0.3,1.3,10,-10,0.842,0.174,0.152,0.834
355,0.3,1.3,10,-5,0.822,0.316,0.174,0.692
356,0.3,1.3,10,-1,0.824,0.432,0.174,0.534
357,0.3,1.3,10,-0.5,0.8,0.436,0.176,0.562
358,0.3,1.3,10,-0.1,0.82,0.522,0.15,0.5
359,0.3,1.3,10,0,0.84,0.492,0.172,0.498
360,0.5,0.01,0,-10,0.04,0,0.976,1
361,0.5,0.01,0,-5,0.03,0,0.976,1
362,0.5,0.01,0,-1,0.028,0,0.964,1
363,0.5,0.01,0,-0.5,0.024,0,0.972,1
364,0.5,0.01,0,-0.1,0.028,0,0.966,1
365,0.5,0.01,0,0,0.036,0.022,0.978,0.972
366,0.5,0.01,0.1,-10,0.476,0,0.544,1
367,0.5,0.01,0.1,-5,0.54,0,0.526,1
368,0.5,0.01,0.1,-1,0.49,0,0.518,1
369,0.5,0.01,0.1,-0.5,0.51,0,0.528,1
370,0.5,0.01,0.1,-0.1,0.524,0,0.538,1
371,0.5,0.01,0.1,0,0.506,0.034,0.512,0.984
372,0.5,0.01,0.5,-10,1,0,0,1
373,0.5,0.01,0.5,-5,1,0,0,1
374,0.5,0.01,0.5,-1,1,0,0,1
375,0.5,0.01,0.5,-0.5,1,0,0,1
376,0.5,0.01,0.5,-0.1,1,0,0,0.998
377,0.5,0.01,0.5,0,1,0.024,0,0.964
378,0.5,0.01,1,-10,1,0,0,1
379,0.5,0.01,1,-5,1,0,0,1
380,0.5,0.01,1,-1,1,0,0,1
381,0.5,0.01,1,-0.5,1,0,0,1
382,0.5,0.01,1,-0.1,1,0,0,0.998
383,0.5,0.01,1,0,1,0.026,0,0.976
384,0.5,0.01,5,-10,1,0,0,1
385,0.5,0.01,5,-5,1,0,0,1
386,0.5,0.01,5,-1,1,0,0,1
387,0.5,0.01,5,-0.5,1,0,0,1
388,0.5,0.01,5,-0.1,1,0,0,1
389,0.5,0.01,5,0,1,0.032,0,0.98
390,0.5,0.01,10,-10,1,0,0,1
391,0.5,0.01,10,-5,1,0,0,1
392,0.5,0.01,10,-1,1,0,0,1
393,0.5,0.01,10,-0.5,1,0,0,1
394,0.5,0.01,10,-0.1,1,0,0,0.998
395,0.5,0.01,10,0,1,0.034,0,0.974
396,0.5,0.1,0,-10,0.378,0,0.578,1
397,0.5,0.1,0,-5,0.438,0,0.6,1
398,0.5,0.1,0,-1,0.44,0.014,0.586,0.992
399,0.5,0.1,0,-0.5,0.39,0.106,0.602,0.898
400,0.5,0.1,0,-0.1,0.404,0.35,0.572,0.684
401,0.5,0.1,0,0,0.412,0.424,0.634,0.556
402,0.5,0.1,0.1,-10,0.5,0,0.48,1
403,0.5,0.1,0.1,-5,0.514,0,0.478,1
404,0.5,0.1,0.1,-1,0.506,0.01,0.496,0.974
405,0.5,0.1,0.1,-0.5,0.488,0.094,0.51,0.906
406,0.5,0.1,0.1,-0.1,0.488,0.34,0.514,0.644
407,0.5,0.1,0.1,0,0.474,0.4,0.504,0.566
408,0.5,0.1,0.5,-10,0.804,0,0.21,1
409,0.5,0.1,0.5,-5,0.822,0,0.208,1
410,0.5,0.1,0.5,-1,0.804,0.02,0.202,0.982
411,0.5,0.1,0.5,-0.5,0.806,0.106,0.206,0.896
412,0.5,0.1,0.5,-0.1,0.79,0.35,0.234,0.66
413,0.5,0.1,0.5,0,0.792,0.436,0.202,0.592
414,0.5,0.1,1,-10,0.952,0,0.048,1
415,0.5,0.1,1,-5,0.964,0,0.032,1
416,0.5,0.1,1,-1,0.972,0.018,0.056,0.98
417,0.5,0.1,1,-0.5,0.962,0.138,0.036,0.872
418,0.5,0.1,1,-0.1,0.972,0.356,0.034,0.692
419,0.5,0.1,1,0,0.952,0.406,0.04,0.612
420,0.5,0.1,5,-10,1,0,0,1
421,0.5,0.1,5,-5,1,0,0,1
422,0.5,0.1,5,-1,1,0.024,0,0.984
423,0.5,0.1,5,-0.5,1,0.118,0,0.874
424,0.5,0.1,5,-0.1,1,0.296,0,0.652
425,0.5,0.1,5,0,1,0.4,0,0.558
426,0.5,0.1,10,-10,1,0,0,1
427,0.5,0.1,10,-5,1,0,0,1
428,0.5,0.1,10,-1,1,0.02,0,0.976
429,0.5,0.1,10,-0.5,1,0.112,0,0.9
430,0.5,0.1,10,-0.1,1,0.318,0,0.664
431,0.5,0.1,10,0,1,0.424,0,0.544
432,0.5,0.5,0,-10,0.464,0,0.52,1
433,0.5,0.5,0,-5,0.484,0.034,0.494,0.98
434,0.5,0.5,0,-1,0.516,0.362,0.534,0.682
435,0.5,0.5,0,-0.5,0.51,0.4,0.532,0.582
436,0.5,0.5,0,-0.1,0.492,0.472,0.522,0.546
437,0.5,0.5,0,0,0.464,0.456,0.498,0.536
438,0.5,0.5,0.1,-10,0.502,0,0.51,1
439,0.5,0.5,0.1,-5,0.482,0.03,0.502,0.976
440,0.5,0.5,0.1,-1,0.522,0.328,0.47,0.7
441,0.5,0.5,0.1,-0.5,0.506,0.414,0.514,0.64
442,0.5,0.5,0.1,-0.1,0.486,0.48,0.486,0.524
443,0.5,0.5,0.1,0,0.516,0.478,0.51,0.556
444,0.5,0.5,0.5,-10,0.55,0,0.434,0.998
445,0.5,0.5,0.5,-5,0.572,0.014,0.488,0.966
446,0.5,0.5,0.5,-1,0.558,0.356,0.454,0.698
